year,state,state_name,municipality_id,municipality_name,ibc,coverage_4g5g,fibra,density_smp,hhi_smp,density_scm,hhi_scm,stations_density,region,fiber_cat,ibc_decile
2024,RO,Rondônia,1100296,Santa Luzia D'Oeste,49.92,62.9831,100,44.0,51,23.87,47,25.39,N,full,5
2024,AC,Acre,1200351,Marechal Thaumaturgo,16.28,30.347,0,36.72,16,8.04,33,8.36,N,none,1
2024,AM,Amazonas,1300839,Caapiranga,29.17,50.9133,50,26.62,7,0.65,71,17.47,N,partial,1
2024,AM,Amazonas,1302207,Juruá,20.06,53.331,0,36.33,36,5.85,19,13.45,N,none,1
2024,PA,Pará,1501204,Baião,34.08,52.82,100,20.46,15,2.85,52,6.26,N,full,2
2024,PA,Pará,1505908,Porto de Moz,20.54,44.8193,0,32.96,29,7.69,72,5.72,N,none,1
2024,TO,Tocantins,1707702,Filadélfia,33.71,58.2097,50,49.99,9,1.85,70,19.17,N,partial,2
2024,TO,Tocantins,1711506,Jaú do Tocantins,45.29,50.8875,100,41.38,11,12.93,43,58.77,N,full,4
2024,TO,Tocantins,1717008,Pindorama do Tocantins,35.01,68.5485,50,45.65,2,2.88,70,21.76,N,partial,2
2024,MA,Maranhão,2101731,Belágua,40.34,66.4865,100,30.83,2,6.4,41,17.21,NE,full,3
2024,MA,Maranhão,2104107,Fortaleza dos Nogueiras,44.39,62.9898,100,49.06,50,4.02,76,7.72,NE,full,4
2024,MA,Maranhão,2109007,Porto Franco,53.05,81.0044,100,55.71,66,26.19,70,8.16,NE,full,6
2024,PI,Piauí,2206951,Novo Santo Antônio,39.4,50.1991,50,53.64,4,0.35,55,51.98,NE,partial,3
2024,PI,Piauí,2209708,São Francisco do Piauí,39.94,44.8935,100,47.82,1,10.04,10,27.76,NE,full,3
2024,PI,Piauí,2210003,São João do Piauí,47.18,71.7456,100,50.83,15,28.11,55,15.88,NE,full,4
2024,PI,Piauí,2210052,São José do Divino,40.8,63.5476,50,49.56,8,0.1,70,30.57,NE,partial,3
2024,CE,Ceará,2303501,Cascavel,65.35,95.4305,100,57.6,67,43.73,79,20.95,NE,full,8
2024,CE,Ceará,2303659,Catunda,41.15,65.4385,50,35.09,32,35.15,6,32.36,NE,partial,3
2024,CE,Ceará,2304707,Granja,48.95,65.3529,100,32.86,61,9.14,71,16.18,NE,full,5
2024,CE,Ceará,2311959,Salitre,37.75,60.2742,50,31.04,32,4.81,50,17.42,NE,partial,2
2024,RN,Rio Grande do Norte,2401651,Bodó,36.42,62.5172,0,19.24,63,14.71,57,63.48,NE,none,2
2024,RN,Rio Grande do Norte,2408102,Natal,80.11,99.9986,100,75.13,69,70.2,72,39.79,NE,full,10
2024,RN,Rio Grande do Norte,2411403,Santana do Matos,31.05,47.7975,50,34.97,43,6.79,45,11.77,NE,partial,1
2024,PB,Paraíba,2502706,Borborema,47.49,97.986,0,53.57,35,0.18,67,35.45,NE,none,4
2024,PB,Paraíba,2503555,Cacimbas,29.5,38.4626,0,25.9,29,0.07,71,26.75,NE,none,1
2024,PB,Paraíba,2512077,Poço de José de Moura,50.94,91.0633,50,36.96,13,23.42,65,24.27,NE,partial,5
