variable,coef,p_value
Intercept,17.321500289469164,0.0
C(fiber_cat)[T.none],-19.006728100291074,0.0
C(fiber_cat)[T.partial],-8.634486183453541,0.0
C(region)[T.N],0.0691818086761431,0.37350422041294973
C(region)[T.NE],0.916619193496693,6.981289526908908e-52
C(region)[T.S],1.248453212616531,2.6896473790675633e-86
C(region)[T.SE],1.0484418207763997,7.201089772462728e-65
C(year)[T.2022],0.11326808160594237,5.018637452471086e-11
C(year)[T.2023],0.00017959743401319006,0.9912316044051869
C(year)[T.2024],0.5239059214253117,4.985869650574238e-13
coverage_4g5g,0.19598184397409854,0.0
density_smp,0.1788969556581481,0.0
density_scm,0.1577389989936502,0.0
hhi_smp,0.0649828246272236,0.0
hhi_scm,0.06003370308674668,0.0
stations_density,0.15739551263501877,0.0
